date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:36	399/399	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:33%20GMT	https://www.proptiger.com/lucknow-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/lucknow-real-estate	(from https://www.proptiger.com/)
18:29:36	401/401	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:33%20GMT	https://www.proptiger.com/mangalore-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/mangalore-real-estate	(from https://www.proptiger.com/)
18:29:37	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:34%20GMT	https://www.proptiger.com/mohali-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/mohali-real-estate	(from https://www.proptiger.com/)
18:29:37	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:34%20GMT	https://www.proptiger.com/mysore-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/mysore-real-estate	(from https://www.proptiger.com/)
18:29:37	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:34%20GMT	https://www.proptiger.com/nagpur-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/nagpur-real-estate	(from https://www.proptiger.com/)
18:29:38	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:35%20GMT	https://www.proptiger.com/nashik-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/nashik-real-estate	(from https://www.proptiger.com/)
18:29:38	402/402	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:35%20GMT	https://www.proptiger.com/trivandrum-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/trivandrum-real-estate	(from https://www.proptiger.com/)
18:29:38	405/405	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:35%20GMT	https://www.proptiger.com/visakhapatnam-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/visakhapatnam-real-estate	(from https://www.proptiger.com/)
18:29:38	400/400	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:35%20GMT	https://www.proptiger.com/zirakpur-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/zirakpur-real-estate	(from https://www.proptiger.com/)
18:29:39	390/390	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:36%20GMT	https://www.proptiger.com/all-cities	C:/Users/hmmm/Videos/prpt/www.proptiger.com/all-cities	(from https://www.proptiger.com/)
18:29:39	401/401	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:36%20GMT	https://www.proptiger.com/prestige-group-100365	C:/Users/hmmm/Videos/prpt/www.proptiger.com/prestige-group-100365	(from https://www.proptiger.com/)
18:29:39	400/400	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:36%20GMT	https://www.proptiger.com/brigade-group-100376	C:/Users/hmmm/Videos/prpt/www.proptiger.com/brigade-group-100376	(from https://www.proptiger.com/)
18:29:40	400/400	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:37%20GMT	https://www.proptiger.com/sobha-limited-100052	C:/Users/hmmm/Videos/prpt/www.proptiger.com/sobha-limited-100052	(from https://www.proptiger.com/)
18:29:40	404/404	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:37%20GMT	https://www.proptiger.com/godrej-properties-100111	C:/Users/hmmm/Videos/prpt/www.proptiger.com/godrej-properties-100111	(from https://www.proptiger.com/)
18:29:40	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:37%20GMT	https://www.proptiger.com/puravankara-100046	C:/Users/hmmm/Videos/prpt/www.proptiger.com/puravankara-100046	(from https://www.proptiger.com/)
18:29:41	404/404	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:37%20GMT	https://www.proptiger.com/provident-housing-100062	C:/Users/hmmm/Videos/prpt/www.proptiger.com/provident-housing-100062	(from https://www.proptiger.com/)
18:29:41	400/400	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:38%20GMT	https://www.proptiger.com/pride-housing-100155	C:/Users/hmmm/Videos/prpt/www.proptiger.com/pride-housing-100155	(from https://www.proptiger.com/)
18:29:41	417/417	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:38%20GMT	https://www.proptiger.com/mahindra-lifespaces-developers-100028	C:/Users/hmmm/Videos/prpt/www.proptiger.com/mahindra-lifespaces-developers-100028	(from https://www.proptiger.com/)
18:29:41	407/407	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:38%20GMT	https://www.proptiger.com/ark-infra-developers-591235	C:/Users/hmmm/Videos/prpt/www.proptiger.com/ark-infra-developers-591235	(from https://www.proptiger.com/)
18:29:42	401/401	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:39%20GMT	https://www.proptiger.com/birla-estates-1350687	C:/Users/hmmm/Videos/prpt/www.proptiger.com/birla-estates-1350687	(from https://www.proptiger.com/)
18:29:43	253553/253553	---MCZ	200	added ('OK')	text/html	etag:%22874354655%22	https://www.proptiger.com/bangalore/kadugodi/ark-infra-developers-cloud-city-656279	C:/Users/hmmm/Videos/prpt/www.proptiger.com/bangalore/kadugodi/ark-infra-developers-cloud-city-656279.html	(from https://www.proptiger.com/)
18:29:44	223286/223286	---MCZ	200	added ('OK')	text/html	etag:%221524840435%22	https://www.proptiger.com/bangalore/whitefield-hope-farm-junction/birla-estates-alokya-1975184	C:/Users/hmmm/Videos/prpt/www.proptiger.com/bangalore/whitefield-hope-farm-junction/birla-estates-alokya-1975184.html	(from https://www.proptiger.com/)
